Price/PLN,Utility Price,Availability,Bedrooms,Area/m2,Location/Warsaw
4200,Bills Included,February,1,38,Wola
4200,Bills Included,September,1,45,Wola
4200,Bills not included,September,2,50,Bielany
4200,Bills not included,October,1,63,Srodmiescie
4000,Bills not included,April,1,44,Ochota
4000,Bills not included,March,1,52,Ochota
4000,Bills not included,April,1,49,Srodmiescie
4000,Bills not included,March,1,41,Srodmiescie
4000,Bills not included,February,2,40,Wola
4000,Bills not included,January,1,45,Wola
4000,Bills not included,November,1,60,Mokotow
4000,Bills not included,October,1,45,Mokotow
4000,Bills not included,November,1,43,Wola
4000,Bills Included,N/A,N/A,42,Wola
4000,Bills Included,September,1,48,Mokotow
4000,Bills not included,September,1,54,Wola
4000,Bills Included,September,1,31,Wola
4000,Bills Included,August,2,54,Wola
4000,Bills not included,September,1,58,Srodmiescie
4000,Bills not included,September,2,55,Srodmiescie
3950,Bills Included,N/A,1,44,Wola
3950,Bills not included,November,1,48,Ursynow
3950,Bills not included,September,1,53,Wola
3950,Bills not included,August,1,40,Wola
3900,Bills Included,March,1,43,Wola
3900,Bills Included,January,1,40,Wola
3900,Bills Included,October,1,60,Mokotow
3900,Bills Included,September,1,45,Mokotow
3900,Bills not included,August,1,60,Srodmiescie
3800,Bills not included,November,1,45,Srodmiescie
3800,Bills not included,September,1,36,Wola
3790,Bills not included,August,1,48,Srodmiescie
3700,Bills not included,February,1,30,Srodmiescie
3700,Bills not included,November,1,42,Wola
3700,Bills not included,October,1,40,Wola
3600,Bills not included,May,1,40,Ochota
3600,Bills not included,February,1,42,Wola
3600,Bills not included,September,1,38,Srodmiescie
3600,Bills not included,February,1,45,Wola
3600,Bills not included,February,2,54,Praga Południe
3600,Bills Included,June,1,40,Srodmiescie
3580,Bills not included,March,1,49,Mokotow
3512,Bills not included,March,1,35,Wola
3500,Bills not included,March,1,33,Ochota
3500,Bills not included,March,1,42,Targowek
3500,Bills Included,February,1,48,Mokotow
3500,Bills not included,November,1,45,Mokotow
3500,Bills not included,August,1,44,Wola
3500,Bills not included,February,1,48,Srodmiescie
3500,Bills not included,February,2,85,Ochota
3450,Bills not included,March,1,37,Mokotow
3430,Bills not included,August,1,35,Wola
3400,Bills not included,March,1,22,Srodmiescie
3400,Bills Included,January,1,26,Wola
3400,Bills Included,November,1,42,Wola
3400,Bills not included,October,1,40,Wola
3400,Bills not included,October,1,43,Wola
3300,Bills not included,January,1,30,Wola
3300,Bills Included,November,1,39,Srodmiescie
3300,Bills Included,September,1,38,Praga Południe
3250,Bills not included,February,1,40,Wola
3250,Bills not included,September,1,44,Wola
3200,Bills not included,March,1,20,Srodmiescie
3200,Bills not included,March,1,40,Praga Południe
3200,Bills Included,N/A,1,32,Wola
3200,Bills not included,October,1,35,Wola
3200,Bills not included,July,1,48,Zoliborz
3156,Bills not included,March,1,36,Praga Południe
3150,Bills Included,June,1,38,Wola
3100,Bills not included,May,1,35,Ochota
3100,Bills not included,February,1,48,Mokotow
3100,Bills not included,March,1,25,Srodmiescie
3000,Bills not included,December,1,30,Praga-Północ
3000,Bills Included,September,1,36,Srodmiescie
3000,Bills Included,September,1,31,Srodmiescie
3000,Bills not included,N/A,1,28,Mokotow
3000,Bills not included,September,1,26,Srodmiescie
3000,Bills not included,September,1,36,Srodmiescie
3000,Bills Included,September,1,35,Praga Południe
3000,Bills Included,October,1,28,Srodmiescie
3000,Bills Included,N/A,1,55,all
3000,Bills Included,May,1,42,Mokotow
2990,Bills not included,February,1,28,Wola
2940,Bills not included,November,1,25,Mokotow
2900,Bills not included,May,1,30,Srodmiescie
2900,Bills not included,March,1,46,Targowek
2900,Bills Included,September,1,41,Praga Południe
2850,Bills not included,September,1,23,Srodmiescie
2800,Bills not included,March,1,32,Praga-Północ
2800,Bills not included,March,1,32,Wlochy
2800,Bills not included,March,1,25,Srodmiescie
2800,Bills not included,January,1,34,Ursus
2800,Bills Included,October,1,30,Srodmiescie
2700,Bills Included,September,1,35,Bemowo
2650,Bills Included,N/A,1,20,Srodmiescie
2500,Bills not included,March,1,36,Zoliborz
2500,Bills not included,March,1,37,Bielany
2400,Bills not included,November,1,34,Ursus
2300,Bills Included,November,1,26,Saska Kepa
2000,Bills not included,September,1,22,Wola
