Price,Details,Bedrooms,Area,Location
" 3,100 PLN + bills (400)","                    Brand new 2 room apartment in Warsaw for rent! Great access to the strict city centre of Warsaw – 7 minutes! LOCALISTATION: (Siemienskiego 3 Street) * 100 meters to tram stop, * quiet and green  [more] ",1,35 m2,"Ochota, Warsaw"
" 4,000 PLN + administrative bills (700 PLN) ",                    From APRIL 2023 available to rent – 2 room apartment – located in Śródmieście district. The apartment is fully furnished and equipped with air conditioning. The apartment consists of: * an [more] ,1,49 m2,"Srodmiescie Warsaw, Warsaw"
" 4,200 PLN +bills per month ","                    Spacious 52m2 , very high 3,8m ( last floor ) , modern 2 rooms apartment , Bergamotki Street , Mokotów, Warsaw . Great 2 rooms apartment , designed by architect. Living room with kitchen annex ( induc [more] ",1,52 m2,"Mokotow, Warsaw"
" 2,800 PLN +administrative fees  +electricty ","                    Port Praski district | ATELIER PRAGA Apartments | Luxury apartment 32 m2 | 2 rooms | Big balcony | METRO STADION | Very good location | New, for first tenant Ideal for people working in Śródmieście, W [more] ",1,32 m2,"Praga-Północ, Warsaw"
" 3,600 PLN + bills ",                    Brand new 2 room apartment in Ochota district for rent from MAY 2023. Great access to the strict city centre of Warsaw – 7 minutes! LOCALISTATION: (Siemienskiego 3 Street) * 100 meters to tram s [more] ,1,40 m2,"Ochota, Warsaw"
" 6,200 PLN + bills","                    NEW 3 room apartment located in new, modern complex on Jugosławiańska street. The apartment includes: * living room, * separated kitchen, * two bathrooms, * two bedrooms, * balcony, * hall In the apar [more] ",2,80 m2,"Praga Południe, Warsaw"
" 3,500 PLN + bills / month","                    For rent, a classy apartment with one room and a separate kitchen. It is located on the first floor (out of 4), there is also a lift in the recently renovated building. The area is very quiet and gree [more] ",1,33 m2,"Ochota, Warsaw"
" 2,900 PLN + bills (around 700 PLN)","                    Apartment with a large terrace. The apartment consists of a living room with kitchenette, bedroom, bathroom, corridor and a terrace of 100m2. The apartment is after general renovation, with new equipm [more] ",1,46 m2,"Targowek, Warsaw"
" 3,500 PLN + bills (700 PLN)","                    Freshly finished and fully furnished apartment on the top 3rd floor. First lease and high standard of finish. All appliances are new (including dishwasher), built-in kitchen. A large double bed and a  [more] ",1,42 m2,"Targowek, Warsaw"
" 6,900 PLN +bills/ month","                    This spacious almost 70 m2 apartment consists of a corridor with a big wardrobe, large living room with a kitchen facing South-West (equipped with a washing machine, dishwasher and an oven), with a ba [more] ",2,68 m2,"Srodmiescie Warsaw, Warsaw"
" 4,000 PLN + bills",                    Apartment in a top location in the center of Warsaw at Marszałkowska Street. A five-minute walk from the intersection of the first and second lines of the Świętokrzyska metro. The apartment consists o [more] ,1,41 m2,"Srodmiescie Warsaw, Warsaw"
" 6,100 PLN + administrative bills","                    The apartment is located near centre of Warsaw, just 3.5 km from the very center of Warsaw. The proximity of the Rondo Daszyńskiego metro station allows you to take advantage of all the attractions of [more] ",2,75 m2,"Wola, Warsaw"
" 5,400 PLN + bills per month","                    Apartment with an area of 60 m2 located at Knonstruktorska street. The living room with a kitchenette with a lot of cupboards has an exit to the balcony with northern exposure. In addition, there are  [more] ",2,60 m2,"Mokotow, Warsaw"
" 2,400 PLN + bills","                    A studio apartment with an area of 33 sq m, located in a great location – Apartamentowa Street. Fully equipped – furniture, TV, kitchen with fridge, washing machine, clothes dryer, ironing board [more] ",1,34 m2,"Ursus, Warsaw"
" 5,570 PLN + bills ","                    Brand new living compound (2023) next to Marina Mokotów. Costs: Rent for 12-month-contract: 5570 PLN Administrative cost: 760 PLN Utilities according to consumption: electricity, district heating, wat [more] ",2,55 m2,"Mokotow, Warsaw"
" 5,300 PLN +bills per month ","                    BRAND NEW spacious apartment, Ogrodowa Street, Wola, Warsaw – next to Browary Warszawskie. Apartment with air condition. High standard, modern, well designed apartment. Fully furnished 2 rooms f [more] ",1,45 m2,"Wola, Warsaw"
" 2,500 PLN + bills per month",                    For rent modern and renovated 2 rooms apartment located on green area – Żoliborz district – 300 meters from Metro Station MARYMONT. Apartment is fully furnished with the most important app [more] ,1,36 m2,"Zoliborz, Warsaw"
" 2,800 PLN + bills per month",                    BRAND NEW MODERN FURNISHED apartment – Łopuszańska street – Warsaw. The apartment is located in convenient place in Warsaw with great transport to City Centre. The flat includes: * Living  [more] ,1,32 m2,"Wlochy, Warsaw"
" 3,400 PLN + bills","                    A spacious and very bright luxury apartment after a general renovation with a kitchenette and a bathroom with a total area of ​​22 m2, 3m high in the very center of the city center. It is situated on  [more] ",1,22 m2,"Srodmiescie Warsaw, Warsaw"
" 3,450 PLN Plus Bills","                    AVAILABLE FROM 01.03.2023! 1-bedroom Apartment (37,27 m2) for rent, without commission, in a newly built housing estate at Woronicza 82. Costs: Rent if you sign the agreement for 12 months: 3450 PLN A [more] ",1,37 m2,"Mokotow, Warsaw"
" 2,800 PLN + bills","                    Apartment TO RENT with an area of 25 m2, 2 rooms, in one of the most desirable locations in Warsaw. The apartment consists of a living room and a kitchenette equipped with household appliances, a bedr [more] ",1,25 m2,"Srodmiescie Warsaw, Warsaw"
" 2,500 PLN + bills","                    Flat located near Metro Wawrzyszewska – Bielany district – available to rent from mid / the end of March for minimum one year! The flat consists of: Spacious living room, kitchen, separate [more] ",1,37 m2,"Bielany, Warsaw"
" 5,590 PLN + bills per month","                    A beautiful, designer apartment, 3 rooms, for long-term rent. glamor with a large terrace and garden. 3 rooms, 63 m2 + 50 m2 garden, Branickiego 20 street, high ground floor in an apartment building ( [more] ",2,63 m2,"Wilanow, Warsaw"
" 3,200 PLN + admin charges ","                    BRAND NEW two-room apartment at Praga, Warsaw Price per month: 3200 PLN + 550 PLN administrative charges + electricity according to bills 200 PLN underground parking space security deposit: 3500 PLN T [more] ",1,40 m2,"Praga Południe, Warsaw"
" 3,600 PLN Plus Bills","                    For rent a cozy and comfortable apartment with an area of 42m, which includes: – living room with a partially connected kitchenette (area 21m), – a bedroom with a bedroom bed, a wardrobe a [more] ",1,42 m2,"Wola, Warsaw"
" 4,000 PLN Plus Bills","                    A beautiful and atmospheric two-room apartment, fully equipped, finished to a very nice standard, in a cozy 3-story building. Excellent location in Warszawska Wola – close to tram and bus stops. [more] ",2,40 m2,"Wola, Warsaw"
" 4,500 PLN ","                    An apartment with a garage included in the price, located on the border of Śródmieście and Warsaw’s Wola at the intersection of ul. Wronia and Solidarity. Freshly handed over by the developer in [more] ",1,36 m2,"Wola, Warsaw"
" 3,512 PLN + bills ","                    Large, air-conditioned studio with a panoramic view of the modern buildings of Wola and Śródmieście. The apartment is located in a new skyscraper on the 12th floor, in the very center of Warsaw’ [more] ",1,35 m2,"Wola, Warsaw"
" 4,500 PLN + bills","                    A beautiful apartment in Warsaw’s Wola district at ul. Kasprzaka 29. The apartment with an area of 35m2 consists of: * a living room equipped with a comfortable sofa, * a capacious built-in ward [more] ",1,35 m2,"Wola, Warsaw"
" 3,156 PLN + bills","                    For rent a comfortable 2-room apartment – living room with kitchenette + bedroom, with an area of 36.02 m, located in a new building at Radzymińska Street, in a quiet, green area. – Living [more] ",1,36 m2,"Praga Południe, Warsaw"
" 4,800 PLN +bills per month ","                    BRAND NEW 3 rooms apartment on Bergamotki Stret , Mokotów area. Apartment complex from 2019 year with security and cameras. Fully furnished apartment. Living room with open kitchen , 2 bedrooms , bath [more] ",2,60 m2,"Mokotow, Warsaw"
" 3,700 PLN +electricity bill","                    MODRN apartment, Hożą Street, City Center Warsaw, Living room with open kitchen, bedroom annex, bathroom and balcony. The flat has been renovated to a high standard. It is also equipped with an Italia [more] ",1,30 m2,"Srodmiescie Warsaw, Warsaw"
" 4,200 PLN with bills","                    Spacious separated 3 rooms apartment located in Ursynów area, Warsaw. Apartment is fully furnished perfect for 3 independent students. Almost 60m2. Each room has a bed or sofa bed, desk or table. Kitc [more] ",3,60 m2,"Ursynow, Warsaw"
" 3,600 PLN + bills per month","                    COMFORTABLE two-room apartment for rent! The flat is located in the center of Warsaw on street Żelazna, on the 4th floor of the building. The apartment has 38m2, is fully furnished and equipped. Consi [more] ",1,38 m2,"Srodmiescie Warsaw, Warsaw"
" 3,200 PLN ","                    A cozy, spacious two-room apartment (32 m2) located in an apartment building from 2017 – ul. Siedmiogrodzka 1a, Warsaw The location of the apartment is ideal for people who value peace and quiet [more] ",1,32 m2,"Wola, Warsaw"
" 4,500 PLN ","                    For rent a new apartment with an area of 45 m2 on the 15th floor in a modern apartment building at ul. Kasprzaka 29 (Osiedle Bliska Wola). The building is located about 3 km from the center of Warsaw, [more] ",1,45 m2,"Wola, Warsaw"
" 3,600 PLN + bills per month ","                    Cozy, two-room apartment for rent Spacious living area with kitchenette and bedroom Elegant apartment building from 2017 – High standard of furniture – Fully equipped – Security, mon [more] ",1,45 m2,"Wola, Warsaw"
" 6,500 PLN + bills / month","                    This cosy and freshly renovated apartment is situated in a prestigious area, in a very city centre, with all the means of public transport around. The area of 60m2 consists of 4 bedrooms (2 smaller &# [more] ",4,60 m2,"Srodmiescie Warsaw, Warsaw"
" 5,000 PLN +bills per month ","                    NEW , spacious after renovation 3 separated rooms apartment , separated kitchen , bathroom with shower ,separated toilet. All equipment and furniture is brand new. 1 room with sofa – bed , desk, [more] ",3,65 m2,"Mokotow, Warsaw"
" 6,150 PLN ","                    For rent attractive, modern, air-conditioned 50sqm apartment in Platinum Tower. Description: 2-room corner apartment with a large balcony on the 9th floor of tower A, stunning view on Plac Europejski  [more] ",1,50 m2,"Wola, Warsaw"
" 4,200 PLN ","                    Call and rent today – available from March 15 (probably from March 1) Pet friendly. 2 room apartment 48 m2. Living room with kitchenette, bedroom (large bed 180×200, mattress with 9 comfort [more] ",1,48 m2,"Wola, Warsaw"
" 4,200 PLN ","                    A two-room apartment for rent, it’s located in the center of Warsaw on street Żelazna, on the 4th floor of the building. There are 2 elevators in the building. The apartment has 38m2, is fully furnish [more] ",1,38 m2,"Wola, Warsaw"
" 4,300 PLN ","                    For rent a new, modern, 2-room apartment on the 3rd floor with a garage space located in Bliska Wola, at 29a Marcina Kasprzaka Street, which belongs to a housing estate of modern high-standard apartme [more] ",1,42 m2,"Wola, Warsaw"
" 3,500 PLN ",                    An apartment in the Nowy Mokotów estate at 10b Konstruktorska Street (the new name of Tolkiena 1 Street). The apartment is located on the second floor of a five-story building with an elevator. The ar [more] ,1,48 m2,"Mokotow, Warsaw"
" 5,000 PLN ","                    A modern, bright and spacious apartment with an area of approx. 58 m2 at ul. Okopowa 56 in the vicinity of KLIF and the ARKADIA Shopping Center. Great location with simple and quick access to the city [more] ",1,58 m2,"all, Warsaw"
" 4,950 PLN ","                    Fully furnished studio with dedicated sleeping area, open plan kitchen and bathroom. The flat is located in trendy neighbourhood of Powiśle, east to Old Town. The flat has been completed, furnished an [more] ",1,34 m2,"Srodmiescie Warsaw, Warsaw"
" 4,900 PLN per month","                    Warsaw – Ursynów. An apartment in a very good location on the 10th floor – bright, beautiful views, space. Conveniently located right next to the Stokłosy metro station. Near the Warsaw Un [more] ",2,62 m2,"Ursynow, Warsaw"
" 5,000 PLN ","                    An apartment in a new building in Warsaw at Siedmiogrodzka 3 street . The complex of buildings has an elegant, representative reception and 24-hour security. A very nice apartment finished with high q [more] ",1,34 m2,"Wola, Warsaw"
" 4,600 PLN ",                    We offer a wonderful apartment in the center of Warsaw on Dragonów Street. The apartment is directly adjacent to the Łazienki Park. Around the embassy. Apartment 47m2 TWO ROOMS – Bedroom – [more] ,1,47 m2,"Srodmiescie Warsaw, Warsaw"
" 3,900 PLN ","                    Elegantly furnished, bright apartment in the new Forum Wola investment on Jana Kazimierza Street. Apartment finished to a high standard, furnished, located on the 2nd floor of a residential building.  [more] ",1,43 m2,"Wola, Warsaw"
" 4,260 PLN +electricity bill","                    NEW, spacious 47m2 , 2 rooms apartment , Śródziemnomorska Street , Mokotów , Warsaw. Fully furnished , 2-rooms apartment, fully furnished – bathroom (bathtub with glass screen), living room with [more] ",1,47 m2,"Mokotow, Warsaw"
" 6,500 PLN + bills per month",                    10 minutes by car to the center of Warsaw 3 bedrooms 1 lounge 2 bathrooms corridor wardrobe two gardens modern kitchen fully equipped furnished Detailed description: I offer a 4-room apartment plus a  [more] ,3,80 m2,"Ochota, Warsaw"
" 4,000 PLN + bills per month",                    Address: Giełdowa 4 Size: 43m The apartment is fully equipped Price: 4000 PLN Parking space in the garage Contact: Jan e-mail: jan@thefox.pl Phone and WhatsApp: +48 514 511 672 Feel free to e-mail as  [more] ,1,45 m2,"Wola, Warsaw"
" 3,300 PLN + bills per month",                    Apartment located on the 7th floor of a modern housing estate Bliska Wola ul. Marcin Kasprzaka 29 The restaurant has been designed and finished with the highest quality materials. Fully equipped kitch [more] ,1,30 m2,"Wola, Warsaw"
" 3,600 PLN + 1400 administrative charges","                    BRAND NEW 3-rooms apartment at street Jeziorańskiego, Warsaw, close to CH Promenada Price: 5000 PLN / month (3600 PLN + 1400 PLN administrative charges) + electricity + Internet Security deposit: 5000 [more] ",2,54 m2,"Praga Południe, Warsaw"
" 2,990 PLN + bills per month","                    Studio apartment with a bedroom annex, finished in 2021. LOCATION: Ordona 5F (Osiedle Vis a Vis) in Warsaw. Closed and guarded estate (24h security and monitoring), located 2 stops from Rondo Daszyńsk [more] ",1,28 m2,"Wola, Warsaw"
" 3,950 PLN ","                    A quiet and spacious two-room apartment located at ul. Jana Kazimierza 33a. The apartment is located in a guarded and monitored housing estate. The apartment consists of 2 separate rooms, separate kit [more] ",1,44 m2,"Wola, Warsaw"
" 4,700 PLN ","                    A beautiful apartment in the very center of the city center, freshly renovated – you will be the first tenant, living room with kitchen, bathroom and bedroom + loggia. The 16th floor thanks to w [more] ",1,39 m2,"Wola, Warsaw"
" 3,400 PLN ","                    Studio apartment with a bedroom annex, finished in 2021. LOCATION st. Ordona 5F (Osiedle Vis a Vis) in Warsaw. Closed and guarded estate (24h security and monitoring), located 2 stops from Rondo Daszy [more] ",1,26 m2,"Wola, Warsaw"
" 3,250 PLN + bills per month","                    Address: Kolejowa 47B Size: 40m2 + balcony Price: PLN 3,250.00 plus utilities, cold and hot water, electricity according to invoices. Contact: Jan e-mail: jan@thefox.pl Phone and WhatsApp: +48 514 511 [more] ",1,40 m2,"Wola, Warsaw"
" 4,300 PLN + bills per month","                    A two-room apartment in a perfectly connected location. High standard of finish, never been rented out, inhabited only by the owner! It consists of two rooms and a balcony: Living room with kitchenett [more] ",1,45 m2,"Wola, Warsaw"
" 4,900 PLN + bills per month","                    Address: Ogrodowa 11 Kitchen – equipped with modern high-quality household appliances: oven, gas hob, extractor hood, dishwasher, large fridge, in the bathroom, a shower cabin with a rain shower [more] ",1,50 m2,"Wola, Warsaw"
" 4,500 PLN ",                    APARTMENT DESCRIPTION: The property is located on the ground floor of an 8-story building from 2016. Consists of the: – a living room with a kitchenette -bedroom -bathrooms – terrace (40 m [more] ,1,44 m2,"Wola, Warsaw"
" 5,300 PLN ","                    THE APARTMENT IS AVAILABLE FOR RENT! YOU ARE WELCOME to come and see. New, air-conditioned 2-bedroom apartament with panoramic windows with a view of buildings of Wola. The apartment is located in a n [more] ",2,40 m2,"Wola, Warsaw"
" 6,500 PLN with all bills ","                    4 rooms apartment, Dzielna 17, CITY CENTER, Warsaw. 4 rooms apartment ( 70m2) – 3 bedrooms with beds + living room with kitchen annex. Apartment is fully furnished and equipped. Erasmus welcome  [more] ",3,65 m2,"Srodmiescie Warsaw, Warsaw"
" 3,900 PLN ","                    For rent a 2-room apartment in Wola (Fort Wola 12), located on the 4th floor, with a balcony, new construction. Fully furnished and equipped (fridge, induction hob, dishwasher, washing machine). The a [more] ",1,40 m2,"Wola, Warsaw"
" 6,200 PLN + bills (around 800 PLN)","                    This two-level apartment is located in the most prestigious part of the city – right next to Nowy Świat and Krakowskie Przedmieście, on the border of Śródmieście with its numerous restaurants, c [more] ",2,80 m2,"Srodmiescie Warsaw, Warsaw"
" 4,550 PLN ","                    Live in a new, high-standard apartment very close to the Płock metro station – at ul. Skierniewicka 34A (intersection with Wolska). The apartment has 35m2, a large balcony where you can relax. T [more] ",1,36 m2,"Wola, Warsaw"
" 5,000 PLN + bills (950)","                    Perfectly arranged, comfortable, freshly renovated, apartment in the very center of Warsaw (41 Wspólna Street). Sunny and quiet apartment for the city center. Two bedrooms with comfortable beds, a spa [more] ",2,56 m2,"Srodmiescie Warsaw, Warsaw"
" 4,500 PLN ",                    Apartment layout: The apartment measures 27 m2 and consists of: -Living room with open kitchen -bathroom with shower Additional information : The apartment is on the 11th floor. The apartment includes [more] ,N/A,27 m2,"Wola, Warsaw"
" 3,100 PLN +bills per month ","                    MODERN 2 rooms apartment after renovation, spacious 48 m2, Braci Pillatich Street, Mokotów, Warsaw. Apartment is clean , very sunny , after renovation. Separated living room , with sofa-bed, table wit [more] ",1,48 m2,"Mokotow, Warsaw"
" 3,800 PLN + bills per month",                    Brand new apartment in CITY CENTRE. Beautiful View Landlord will provide all the furniture for the new tenant. Adress: Złota 11 Price: 5000 + bills Contact: Jan e-mail: jan@thefox.pl Phone and WhatsAp [more] ,1,45 m2,"Srodmiescie Warsaw, Warsaw"
" 6,500 PLN + bills per month",                    ERASMUS WELCOME IN WARSAW! 2 seperated bedroom apartment for rent from the February 2023! Apartment consists of: 1. Living room with fold-out sofa bed 2. Bedroom no 1 3. bedroom no 2 4. Seperated kitc [more] ,2,56 m2,"Srodmiescie Warsaw, Warsaw"
" 4,900 PLN ","                    New, high-class and functional, air-conditioned apartment with an area of 47 m2 + balcony. Furnished, modern, with large panoramic windows, located in Warsaw at ul. Kasprzaka 29. It is located on the  [more] ",1,47 m2,"Srodmiescie Warsaw, Warsaw"
" 6,000 PLN ","                    An apartment with an ideal layout, in a modern style, on the fourth floor of a new apartment building. The apartment is very quiet, its windows overlook the internal patio. The apartment has a fully e [more] ",1,34 m2,"Srodmiescie Warsaw, Warsaw"
" 6,500 PLN ","                    For rent a 2-room apartment designed by an interior designer to a high standard. Apartments like this are very rare to find! Located in a great place, finished in a high standard, with a balcony and a [more] ",1,60 m2,"Srodmiescie Warsaw, Warsaw"
" 5,000 PLN ","                    For rent a large two-room apartment with an area of 68.2 m2 on the 7th floor in an apartment building. The apartment consists of a spacious living room, bedroom, separate bright kitchen, bathroom, hal [more] ",1,68 m2,"Srodmiescie Warsaw, Warsaw"
" 7,800 PLN + utilities / month","                    This recently renovated apartment is about 80 m2 and consists of a kitchen, corridor, common area with a table and chairs, toilet and bathroom (with a toilet), 5 bedrooms equipped, as in the pictures, [more] ",5,80 m2,"Wola, Warsaw"
" 5,900 PLN + electricity ","                    For rent premium 3 rooms apartment ,Siedmiogrodzka Street , next to rondo Daszyńskiego Amazing apartment located on the third floor. * Size: 61m2, * 3 rooms: 2 bedrooms + living room with open kitchen [more] ",2,61 m2,"Wola, Warsaw"
" 2,800 PLN + electricity (ONLY)","                    A studio apartment with an area of 33 sq m, located in a great location. Fully equipped – furniture, TV, kitchen with fridge, washing machine, clothes dryer, ironing board, etc. RENT AMOUNT R [more] ",1,34 m2,"Ursus, Warsaw"
" 9,500 PLN + bills","                    SPACIOUS four-room apartment with two bathrooms, street Stawki, City Center, Warsaw Size: 95 m2, 2nd floor with an elevator, 4 rooms (3 bedrooms, living room and kitchen), 2 balconies, 2 underground p [more] ",3,95 m2,"Srodmiescie Warsaw, Warsaw"
" 3,000 PLN +bills per month ","                    BRAND NEW studio Wrzesińska Street, Old Prague, Warsaw. Apartment is fully furnished into a high standard- almost 30m2. Apartment complex from 2019 year. Studio is located on 8th floor with great view [more] ",1,30 m2,"Praga-Północ, Warsaw"
" 5,000 PLN ",                    Luxurious apartment in Warsaw’s Śródmieście district! An elegant apartment located in a pre-war tenement house from 1912 in one of the most prestigious locations in Śródmieście. The apartment is [more] ,1,46 m2,"Srodmiescie Warsaw, Warsaw"
" 4,500 PLN per month  (bills included)","                    Guests looking for an elegant, comfortable apartment that is well connected with the city centre. The apartment consists of two bright rooms that combine the functionality of a bedroom and a living ro [more] ",1,40 m2,"Wola, Warsaw"
" 4,400 PLN + bills per month","                    Just renovated! Landlord will buy missing furnitures suitable for the new tenant. Śródmieście – Krucza 46 2 rooms, bright kitchen, bathroom, two-sided layout – bright and quiet. Price: 4,4 [more] ",1,54 m2,"Srodmiescie Warsaw, Warsaw"
" 5,500 PLN + bills per month",                    62m on the 7th floor in a guarded housing estate in Wola. The apartment is sunny – windows to the south-west. It consists of a living room and 2 bedrooms and a 24m terrace. Wooden floors in the  [more] ,2,62 m2,"Wola, Warsaw"
" 3,500 PLN + bills per month","                    The building is located in the green part of Mokotów among low-rise buildings, right next to the Służew metro station (300m), close to shops, schools and Dolinka Służewiecka. A cozy, bright apartment  [more] ",1,45 m2,"Mokotow, Warsaw"
" 3,950 PLN + administrative rent + electricity  ","                    BRAND NEW, modern 2 rooms apartment, Pieskowa Skała, Ursynów Warsaw. Well designed, spacious 48m2, second floor with spacious balcony. Quiet and calm area close to Warsaw Business Center Mokotów with  [more] ",1,48 m2,"Ursynow, Warsaw"
" 3,300 PLN per month",                    A flat at ul. Chmielna 27/31 (next to the Atlantic cinema) in Warsaw. Building with elevator and security. The apartment on the first floor – windows facing the courtyard. It consists of: a livi [more] ,1,39 m2,"Srodmiescie Warsaw, Warsaw"
" 2,300 PLN per month","                    A flat on the fourth floor in a building at ul. Francuska 47 (at the Washington Roundabout, with an entrance to the guarded area from Lipska Street) with a view of the panorama of Warsaw and the Natio [more] ",1,26 m2,"Saska Kepa, Warsaw"
" 3,400 PLN per month",                    2-room apartment for rent with a kitchenette at Jana Kazimierza 64 A in Warsaw’s Odolany (Wola district). The apartment with an area of ​​40 m2 consists of a large open living room connected wit [more] ,1,42 m2,"Wola, Warsaw"
" 3,700 PLN + bills per month","                    Comfortable apartment 3 minutes from Rondo Daszyńskiego, 6 minutes from Rondo ONZ, with an area of 40 m2 on the 4th floor in Apartamenty Pańska. The restaurant is fully furnished. Fully furnished, it  [more] ",1,42 m2,"Wola, Warsaw"
" 9,500 PLN + bills ","                    To rent a beautiful apartment in the city centre. High standard. Area -70 sq.m. This charming apartment comprise a living-room with semi-open kitchen (modern and fully-fitted), two bedrooms, a main ba [more] ",2,70 m2,"Srodmiescie Warsaw, Warsaw"
" 4,000 PLN + bills per month","                    3-room apartment directly in Mokotów, close to Mordor, Galeria Mokotów, between the tram and the metro – very well connected – 7 minutes to the metro, similar to the tram Sunny kitchen and [more] ",1,60 m2,"Mokotow, Warsaw"
" 2,940 PLN + bills depends on usage","                    Studio (25m2) for rent in a newly built housing estate at Woronicza 82. The investment is located 4 km from Chopin airport. Nearby you can find a lot of shops, restaurants and cafes: Rossmann, Żabka,  [more] ",1,25 m2,"Mokotow, Warsaw"
" 5,400 PLN + bills","                    A new apartment for rent, located in Warsaw at Siedmiogrodzka Street. The apartment is located in a prestigious apartment building in the “WAPARTAMENTS” investment, just 7 minutes from the [more] ",1,50 m2,"Wola, Warsaw"
" 5,000 PLN + bills","                    A modern two-room apartment with a balcony, very close to the Rondo Daszyńskiego metro station. Apartment building with an elegant reception, 24h security and monitoring, a landscaped green area insid [more] ",1,43 m2,"Wola, Warsaw"
" 3,400 PLN + bills per month","                    The apartment is located on the 6th floor of the 8th, south-west side. It includes: -a spacious living room with a sofa and exit to the balcony, RTV equipment – equipped kitchenette (full househ [more] ",1,40 m2,"Wola, Warsaw"
" 4,300 PLN + bills per month","                    3-room apartment at ul. Fort Służew finished to a high standard. The building was commissioned in 2019, with 24/7 security. The apartment is quiet, sunny, tastefully and functionally furnished. It con [more] ",2,60 m2,"Mokotow, Warsaw"
" 4,600 PLN +bills per month ","                    Spacious, sunny 3 rooms apartment( 80 m2 ) Krucza Street, City center , Warsaw. Apartment after general renovation in 2008 year. Air conditioned. Living room with open kitchen, bedroom, room, bathroom [more] ",2,80 m2,"Srodmiescie Warsaw, Warsaw"
" 5,338 PLN ","                    Fully furnished 1 bedroom flat located on the borders of City Centre and Muranów. The flat has been completed, furnished and decorated with high quality furniture and all the trimmings. Yep, that’s ri [more] ",1,40 m2,"Srodmiescie Warsaw, Warsaw"
" 3,000 PLN ","                    Refreshed apartment, located in Warsaw’s Śródmieście, at 45 Zielna Street.Close to many restaurants, grocery stores.next to the Swietokrzyska metro station, 10th floor, overlooking the Saski garden, b [more] ",1,36 m2,"Srodmiescie Warsaw, Warsaw"
" 7,200 PLN + bills",                    4-room apartment with an area of ​​91 m2 in the business center of Mokotów. The apartment is located on the 9th floor (out of 12) with a western exposure. Designed and finished with the utmost care to [more] ,3,91 m2,"Mokotow, Warsaw"
" 7,000 PLN all in",                    For rent immediately a higher standard premises located in Bemowo at ul. Powstańców Śląskich 102 (Pirenejska and Radiowa stops) with a total area of ​​approximately 80 m (2). It is located on the 3rd  [more] ,3,80 m2,"Bemowo, Warsaw"
" 3,900 PLN per month","                    A beautiful, stylish apartment with large windows and a balcony in Górny Mokotów, next to Unii Lubelskiej Square (close to the Center) – ul. Puławska 33. An apartment with an area of ​​57 m2, lo [more] ",1,60 m2,"Mokotow, Warsaw"
" 4,800 PLN + bills","                    Atmospheric, almost 4m high apartment with a mezzanine in a tenement house in the center of Warsaw. Unique. Building 200m from the metro station. Direct neighborhood of the Warsaw Uprising Museum, Pla [more] ",1,58 m2,"Wola, Warsaw"
